seed,アリの解,アリを無し,無しの解,無しをアリ
0,20.83199999999991,92.98999999999995,103.52699999999982,17.717000000000027
0,55.18000000000006,189.8190000000001,200.16899999999987,53.72100000000002
0,104.54399999999984,228.71700000000044,232.5750000000003,72.69799999999991
0,110.51399999999991,234.24000000000018,235.21699999999984,87.62499999999987
0,146.40700000000035,253.4200000000002,254.35500000000013,147.01299999999998
0,151.71100000000033,256.12599999999975,257.2549999999999,150.36199999999994
1,30.4920000000001,101.2620000000001,96.75100000000019,28.697000000000106
1,75.76600000000008,204.94799999999967,182.28999999999988,56.37000000000004
1,154.67600000000007,246.92700000000013,247.75799999999987,141.42799999999997
1,160.78800000000015,251.273,251.45700000000014,159.2280000000001
1,201.61600000000018,258.9040000000002,259.9609999999998,189.97699999999992
1,206.25500000000036,262.8659999999999,264.80600000000015,207.43900000000002
2,22.796999999999954,94.42199999999974,101.04000000000022,16.317999999999984
2,50.12300000000002,196.2019999999998,201.28699999999984,43.64400000000005
2,130.657,260.8109999999999,262.40400000000017,131.63499999999996
2,138.53200000000018,264.40899999999925,264.28400000000005,135.62800000000004
2,159.3399999999999,265.5069999999998,268.80099999999936,145.1360000000003
2,183.9470000000001,273.5179999999996,273.47,178.9479999999999
3,24.72200000000003,90.17600000000022,103.86000000000016,24.496000000000063
3,69.99800000000015,195.85200000000037,200.05499999999947,65.93900000000001
3,146.26499999999982,241.10199999999992,241.2419999999998,149.68400000000008
3,157.95000000000016,242.76799999999972,245.6399999999999,156.72499999999994
3,193.46900000000008,254.13999999999993,252.73600000000013,191.9769999999999
3,199.18200000000007,254.82400000000024,256.0799999999999,195.84299999999988
4,20.57400000000001,96.53800000000015,104.71699999999986,8.348999999999945
4,60.308000000000085,189.37299999999993,198.84499999999966,54.55499999999999
4,104.78799999999974,227.0570000000002,241.42799999999997,86.11499999999997
4,112.18799999999992,229.84100000000012,246.8419999999999,95.04200000000004
4,147.69600000000014,252.17499999999973,251.60599999999997,141.3660000000002
4,153.21899999999988,254.5759999999998,259.09899999999976,127.30999999999995
5,22.314000000000032,89.19500000000002,104.26700000000011,23.94500000000004
5,65.5650000000001,201.78200000000007,192.91199999999998,56.41600000000002
5,126.36200000000014,238.87199999999982,243.25399999999985,116.03699999999996
5,133.77900000000014,242.95299999999972,246.66499999999994,126.01599999999983
5,177.47399999999982,256.3489999999998,256.79299999999995,178.18700000000013
5,183.393,258.4360000000001,258.991,183.44900000000013
6,43.07900000000002,96.40400000000031,99.13599999999995,42.55500000000016
6,94.52500000000002,198.09099999999984,190.70499999999984,86.64500000000021
6,192.63099999999977,265.224,267.30000000000024,192.70500000000018
6,199.8850000000002,264.8719999999996,271.56199999999944,202.84300000000005
