seed,アリの解,アリの解2,アリを無し,無しの解,無しをアリ,無しをアリ2
0,26.373,12.805,26.590,26.695,25.804,12.766
0,49.229,12.625,49.376,49.424,47.075,12.453
0,70.845,12.589,71.953,74.121,70.945,12.058
0,91.985,12.696,93.192,94.360,91.504,11.947
1,25.900,23.891,26.087,26.902,25.453,23.501
1,51.405,23.635,51.596,51.369,49.437,23.438
1,74.813,23.208,75.628,74.836,72.463,23.194
1,96.037,23.220,97.436,96.050,93.692,22.797
2,26.554,8.457,26.436,27.786,26.533,8.318
2,51.299,8.555,51.293,52.474,51.846,8.086
2,74.027,8.074,73.814,73.881,72.859,8.295
2,96.127,8.165,96.856,94.266,92.519,8.005
3,26.293,4.807,26.235,26.109,25.276,4.747
3,47.738,4.838,47.554,49.547,48.729,4.873
3,72.318,4.731,72.916,73.089,71.735,4.765
3,92.697,4.568,93.094,94.017,93.130,4.704
4,26.750,5.144,26.401,27.005,26.052,4.988
4,50.687,5.234,50.612,51.452,50.528,5.019
4,72.992,5.142,73.187,74.239,72.421,4.952
4,95.759,5.021,96.257,95.565,94.110,5.036
5,26.044,8.920,25.927,27.278,26.497,8.847
5,49.835,8.848,50.105,51.409,50.683,8.673
5,72.845,8.590,73.543,73.662,71.324,8.491
5,93.351,8.788,93.397,95.210,92.890,8.174
6,26.379,8.012,26.969,26.040,24.537,7.714
6,48.724,7.784,49.019,49.221,47.307,7.780
6,72.133,7.935,72.403,73.444,71.998,7.437
6,92.151,7.771,93.154,95.412,92.941,7.588
7,25.895,13.694,25.876,26.948,24.740,13.222
7,49.278,13.387,49.564,49.189,47.603,13.282
7,71.637,13.245,72.365,72.292,71.086,12.981
7,92.210,12.843,93.509,94.203,91.738,12.578
8,26.080,22.066,26.168,27.137,25.647,21.625
8,50.084,21.765,50.884,51.528,49.190,21.096
8,72.869,21.340,73.976,77.294,74.664,20.898
8,93.280,21.256,94.409,98.218,95.440,20.461
