seed,アリの解,アリの解2,アリを無し,無しの解,無しをアリ,無しをアリ2
0,18.578,12.313,20.427,20.427,18.578,12.313
0,31.272,12.420,33.491,33.491,31.272,12.420
0,40.016,11.883,43.346,43.346,40.016,11.883
0,47.279,11.784,50.744,50.744,47.279,11.784
1,8.920,22.359,10.363,10.363,8.920,22.359
1,14.325,22.362,16.251,16.251,14.325,22.362
1,19.682,21.449,23.669,23.669,19.682,21.449
1,24.649,21.087,28.408,26.060,22.306,20.985
2,15.389,8.649,15.876,15.876,15.389,8.649
2,23.133,8.639,23.707,23.707,23.133,8.639
2,27.889,8.496,28.387,28.592,28.331,8.297
2,33.228,8.328,33.925,32.789,32.353,8.158
3,15.829,4.788,15.644,15.644,15.829,4.788
3,23.032,4.892,23.204,23.809,23.477,4.829
3,28.811,4.977,29.527,29.279,29.045,4.893
3,33.659,4.756,34.157,35.413,35.246,4.645
4,15.096,5.218,15.303,15.303,15.096,5.218
4,25.708,5.048,26.015,26.015,25.708,5.048
4,31.949,5.145,31.821,31.821,31.949,5.145
4,36.157,4.982,36.460,36.460,36.157,4.982
5,13.058,8.581,13.481,13.481,13.058,8.581
5,22.030,8.341,22.700,23.276,21.365,8.451
5,30.646,8.019,32.131,32.131,30.646,8.019
5,36.535,8.406,38.808,38.808,36.535,8.406
6,17.249,7.638,18.503,18.503,17.249,7.638
6,31.144,7.692,31.978,31.978,31.144,7.692
6,41.328,7.508,42.822,42.822,41.328,7.508
6,46.409,7.170,48.233,48.967,47.305,7.200
7,15.566,13.824,16.053,16.053,15.566,13.824
7,25.383,13.005,26.353,26.353,25.383,13.005
7,33.789,12.652,35.765,35.765,33.789,12.652
7,40.374,11.935,42.574,42.574,40.374,11.935
8,15.149,21.976,15.721,15.721,15.149,21.976
8,24.849,21.519,25.440,25.440,24.849,21.519
8,30.873,21.465,31.745,31.745,30.873,21.465
8,36.943,21.454,38.297,37.921,36.023,21.261
