K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
316-213-76,11-439-901,4.0511,3.9457,0,7.9334,1,0.0634,,,
379-133-611,488-901-203,4.123,3.2385,0,7.3478,1,0.0137,,,
924-403-523,21-73-7,4.0418,20.2009,0,24.8007,0,-0.558,,,
559-950-28,1-716-106,8.8444,169.9858,0,173.7629,1,5.0673,,,
239-650-113,901-35-152,10.6915,9.5892,0,18.4011,1,1.8796,,,
200-227-319,593-421-622,3.3534,4.8674,0,8.1068,1,0.114,,,
616-21-209,19-379-408,19.4041,4.7489,0,23.299,1,0.854,,,
113-245-593,747-746-145,10.6829,9.6703,0,20.8075,0,-0.4543,,,
316-704-724,888-593-809,11.7937,3.4743,0,15.7027,0,-0.4347,,,
61-709-185,48-433-635,18.6867,21.8808,0,30.6356,1,9.9319,,,
408-616-818,204-366-133,9.2738,7.093,0,15.6378,1,0.729,,,
181-289-148,82-163-901,5.7113,3.3824,0,9.0535,1,0.0402,,,
315-372-333,241-439-123,19.7782,7.3946,0,26.4264,1,0.7464,,,
342-543-482,142-543-96,4.1877,4.7196,1.283,7.5903,1,0.034,,,
519-214-353,512-493-110,7.8073,3.8815,0,11.6731,1,0.0157,,,
13-364-135,43-927-33,9.5316,4.918,0,14.7088,0,-0.2592,,,
566-603-474,626-15-135,20.9443,12.7964,0,29.8741,1,3.8666,,,
365-73-931,366-470-86,5.2977,6.591,0,11.9104,0,-0.0217,,,
133-961-379,213-505-33,4.0515,5.6699,0,9.7039,1,0.0175,,,
400-175-621,817-315-709,4.0751,3.3918,0,7.4832,0,-0.0163,,,
123-830-724,284-430-317,8.8801,8.8859,0,17.3954,1,0.3706,,,
207-872-289,709-429-117,10.5558,4.158,0,14.6106,1,0.1032,,,
928-39-183,39-901-436,3.739,4.3973,1.272,6.8831,0,-0.0188,,,
136-11-152,179-58-163,10.7318,21.1688,0,29.3316,1,2.569,,,
817-913-365,27-39-979,3.6031,4.1164,0,7.7274,0,-0.0079,,,
809-96-635,830-266-366,3.5345,7.8362,0,11.3872,0,-0.0165,,,
648-170-331,404-170-603,21.301,23.1829,19.4977,24.4602,1,0.526,,,
519-489-126,247-186-245,4.5989,4.2872,0,8.8978,0,-0.0117,,,
519-7-362,33-616-221,4.1844,5.1246,0,9.3209,0,-0.0119,,,
818-49-931,120-266-362,8.6186,4.8446,0,13.4939,0,-0.0307,,,
972-362-13,241-429-665,8.2365,7.6675,0,15.9434,0,-0.0394,,,
18-11-59,522-421-5,34.8085,5.6497,0,38.5683,1,1.8899,,,
493-13-148,266-470-120,9.3931,4.6169,0,13.9265,1,0.0835,,,
317-316-112,317-96-110,27.0799,8.6361,6.4998,29.8185,0,-0.6023,,,
400-488-404,32-48-214,3.2352,30.3207,0,32.1336,1,1.4223,,,
901-49-39,7-722-164,3.6425,8.7878,0,12.1221,1,0.3082,,,
493-746-979,120-117-457,3.8796,4.7825,0,8.6735,0,-0.0114,,,
429-488-603,245-695-724,8.404,8.7351,0,16.2588,1,0.8803,,,
315-67-75,170-489-421,24.8261,24.1131,0,36.5744,1,12.3648,,,
709-11-159,256-137-433,3.9627,5.6845,0,9.6503,0,-0.0031,,,
251-433-608,43-5-553,3.8474,5.0633,0,8.9215,0,-0.0108,,,
362-21-419,5-298-164,18.542,9.375,0,24.6482,1,3.2688,,,
26-961-228,300-817-927,4.6364,3.5382,0,8.1638,1,0.0108,,,
304-133-27,116-139-362,4.5256,3.7403,0,8.2913,0,-0.0254,,,
30-747-58,304-519-48,4.1478,22.8599,0,26.9696,1,0.0381,,,
931-239-626,489-319-650,4.0985,4.0929,0,8.2228,0,-0.0314,,,
430-358-722,183-555-543,4.2677,3.7767,0,7.8321,1,0.2123,,,
165-256-75,18-76-245,20.9522,34.9444,0,44.8745,1,11.0221,,,
120-995-2,421-67-661,20.1497,10.4289,0,30.5863,0,-0.0077,,,
126-315-312,83-101-724,3.4561,9.3007,0,12.8823,0,-0.1255,,,
30-163-241,904-489-972,7.8031,4.0265,0,11.7826,1,0.047,,,
169-364-207,962-209-336,14.7717,5.0939,0,19.5,1,0.3656,,,
268-70-924,209-931-336,4.542,5.8045,0,10.3811,0,-0.0346,,,
927-543-76-846,135-901-722-601,5.3805,6.0264,0,11.2741,1,0.1328,,,
764-379-747-962,163-8-241-316,4.5805,29.7716,0,33.6614,1,0.6907,,,
528-606-519-284,208-950-35-928,5.2242,4.686,0,9.9062,1,0.004,,,
136-659-764-301,306-372-846-148,5.2148,6.6802,0,11.9114,0,-0.0164,,,
396-118-52-489,562-928-404-747,5.9036,5.3883,0,10.7743,1,0.5176,,,
979-112-76-724,505-233-601-48,25.0191,25.2537,0,37.3756,1,12.8972,,,
67-26-962-148,23-747-113-979,11.1757,16.07,0,26.8039,1,0.4418,,,
648-283-446-233,145-353-67-396,6.8307,15.8395,0,22.6584,1,0.0118,,,
67-616-818-170,611-379-407-155,28.2657,5.6867,0,33.982,0,-0.0296,,,
115-817-558-251,76-5-112-661,9.8783,25.5672,0,31.9026,1,3.5429,,,
23-528-58-110,155-112-294-364,10.6628,25.4168,0,32.5552,1,3.5244,,,
372-48-312-323,35-312-400-362,24.2918,4.7479,1.2297,27.0883,1,0.7217,,,
137-400-913-113,217-489-67-52,13.4362,13.9273,0,25.7866,1,1.5769,,,
245-227-817-241,118-777-338-342,9.5863,5.3265,0,14.7896,1,0.1232,,,
519-116-747-635,7-595-18-830,5.2483,36.0032,0,41.0684,1,0.1831,,,
214-33-817-112,116-52-27-470,28.6662,5.2979,0,34.7611,0,-0.797,,,
233-396-23-372,169-289-400-152,12.4504,17.8642,0,27.6586,1,2.656,,,
333-207-393-603,55-203-18-483,23.5547,40.2781,0,46.7839,1,17.0489,,,
118-35-382-200,152-365-210-170,6.2645,25.2796,0,31.7725,0,-0.2284,,,
20-214-59-142,333-268-622-316,9.5375,20.3168,0,28.6852,1,1.1691,,,
159-543-33-289,101-268-18-403,7.8405,37.0194,0,43.9275,1,0.9324,,,
106-43-164-470,22-239-298-58,10.4255,7.2371,0,17.4602,1,0.2024,,,
204-543-11-142,522-180-566-927,6.6388,4.3773,0,10.9748,1,0.0413,,,
436-379-400-116,33-118-928-429,5.6124,6.1765,0,11.766,1,0.0229,,,
187-436-336-21,183-58-430-213,22.3936,5.1265,0,28.616,0,-1.0959,,,
210-419-175-429,439-135-924-165,5.1878,7.6117,0,12.775,1,0.0245,,,
228-227-652-207,365-512-152-137,11.6751,12.9297,0,23.4169,1,1.1879,,,
272-48-75-407,439-30-112-204,30.1651,22.8354,0,40.8943,1,12.1062,,,
233-2-133-49,950-904-818-396,23.1346,9.5821,0,31.6674,1,1.0493,,,
652-208-33-979,15-209-159-59,6.5204,12.9226,0,18.5855,1,0.8575,,,
117-126-143-159,203-210-1-7,5.0493,169.6215,0,173.9645,1,0.7063,,,
928-557-364-403,695-108-315-217,5.0148,8.0306,0,12.9769,1,0.0685,,,
247-165-846-747,331-421-665-35,5.8963,6.211,0,12.0842,1,0.0231,,,
846-716-961-15,32-621-482-207,13.2754,16.6332,0,27.7062,1,2.2024,,,
336-593-319-704,26-972-207-962,11.1539,11.0255,0,20.0738,1,2.1056,,,
239-49-35-709,759-474-950-233,4.9878,22.3684,0,27.5641,0,-0.2079,,,
113-5-888-543,704-626-650-404,12.1697,9.256,0,21.0568,1,0.3689,,,
20-183-995-21,116-32-15-7,19.872,18.8604,0,32.2391,1,6.4933,,,
289-704-913-746,8-136-333-210,12.4524,30.7001,0,37.0834,1,6.0691,,,
319-133-18-247,155-185-47-436,35.8156,7.8628,0,42.7723,1,0.9061,,,
566-382-289-611,315-115-180-210,7.5892,10.0464,0,17.5095,1,0.1261,,,
93-306-272-55,888-142-566-61,26.5039,21.1051,0,35.2804,1,12.3286,,,
217-353-888-522,115-593-251-21,7.9661,20.8898,0,28.4894,1,0.3665,,,
300-186-163-43,979-559-469-301,4.8156,4.8001,0,9.609,1,0.0067,,,
70-148-80-522,126-37-648-429,10.3367,9.5882,0,19.4614,1,0.4635,,,
904-39-505-236,15-76-429-695,5.5932,13.5188,0,19.3186,0,-0.2066,,,
626-469-312-104,489-648-362-118,4.9067,5.2605,0,10.1258,1,0.0414,,,
519-830-8-505,764-26-366-429,26.3379,8.4031,0,34.1589,1,0.5821,,,
961-407-294-200,474-75-562-27,5.1158,27.8996,0,32.5587,1,0.4567,,,
818-241-361-764,67-209-606-661,12.7757,10.75,0,23.9235,0,-0.3978,,,
553-830-148-809,145-27-185-7,6.9653,10.8133,0,17.6762,1,0.1024,,,
746-26-306-616,86-82-815-200,6.5598,4.7024,0,11.2501,1,0.0121,,,
558-830-704-61,361-764-52-221,22.5499,4.8361,0,27.2869,1,0.0991,,,
595-236-204-559,75-972-319-408,4.5555,22.5486,0,26.6023,1,0.5018,,,
266-187-603-913,148-221-606-601,10.3662,5.9105,0,16.2837,0,-0.007,,,
175-183-113-228,33-402-333-208,12.3033,22.2016,0,30.196,1,4.3089,,,
76-747-396-622,872-27-648-611,5.9291,4.9012,0,10.8578,0,-0.0275,,,
482-169-419-913,67-439-809-55,11.1461,27.3076,0,34.931,1,3.5227,,,
101-522-227-96,483-621-407-58,6.0027,6.4854,0,12.5086,0,-0.0205,,,
393-846-164-115,23-608-108-379,13.6607,9.9788,0,21.748,1,1.8915,,,
417-209-704-20,108-145-315-148,14.6875,11.1341,0,26.1113,0,-0.2897,,,
300-135-210-924,204-306-393-217,7.1885,9.5122,0,16.6824,1,0.0183,,,
120-96-15-528,39-307-716-169,13.1609,12.1111,0,24.4874,1,0.7846,,,
362-830-37-153,289-143-300-924,9.7064,6.8254,0,16.915,0,-0.3832,,,
83-58-179-75,101-747-200-20,28.0961,5.8355,0,33.0893,1,0.8423,,,
650-143-123-429,180-979-289-247,4.7105,6.4046,0,11.1265,0,-0.0114,,,
283-32-746-404,117-155-661-106,12.4091,7.1977,0,19.4124,1,0.1944,,,
2-26-284-6,436-52-519-135,35.4012,7.4455,0,41.8751,1,0.9716,,,
722-86-652-233,192-830-241-746,6.5038,15.5569,0,19.8118,1,2.2489,,,
126-818-187-601,187-300-284-611,9.8391,5.0817,1.529,13.5815,0,-0.1897,,,
555-294-75-433,566-43-557-469,22.0507,4.926,0,26.4038,1,0.5729,,,
169-185-417-505,333-493-247-67,16.4967,24.6467,0,35.008,1,6.1354,,,
265-488-23-543,929-665-904-104,10.1501,8.8194,0,18.4361,1,0.5334,,,
364-23-115-116,665-55-872-1,14.0833,170.2052,0,173.8765,1,10.412,,,
307-241-113-120,208-362-133-221,16.2717,5.4643,0,21.2732,1,0.4628,,,
200-180-413-489,163-49-924-417,5.7424,11.103,0,16.9005,0,-0.0551,,,
331-266-593-123,30-543-402-469,5.3284,5.312,0,10.6546,0,-0.0142,,,
661-251-704-929,80-106-648-200,13.3056,9.2447,0,22.3058,1,0.2445,,,
764-153-483-217,256-928-104-142,8.7687,5.767,0,14.4713,1,0.0644,,,
665-120-962-187,408-300-126-142,5.3701,6.757,0,12.1541,0,-0.027,,,
155-180-120-306,210-746-528-417,7.0149,11.4178,0,19.1526,0,-0.7199,,,
722-151-204-528,361-904-746-13,4.5211,9.6581,0,14.2856,0,-0.1064,,,
52-593-759-543,419-181-151-23,4.788,10.331,0,14.2796,1,0.8394,,,
208-661-817-110,151-315-181-747,4.9636,4.3309,0,9.3148,0,-0.0203,,,
289-543-236-175,474-665-724-611,6.706,22.0583,0,28.6784,1,0.0859,,,
528-421-208-695,181-543-256-555,5.7762,4.6168,0,10.3725,1,0.0205,,,
474-251-139-497,245-181-120-148,22.5289,6.3462,0,28.512,1,0.3631,,,
16-809-207-108,364-159-396-145,11.594,10.5575,0,22.2514,0,-0.0999,,,
76-251-209-650,559-931-19-818,6.231,9.8852,0,16.2932,0,-0.177,,,
210-557-747-872,995-164-18-59,5.0246,36.7606,0,41.4843,1,0.3009,,,
67-312-366-11,112-86-145-566,13.5053,29.1339,0,42.2067,1,0.4325,,,
621-512-366-113,159-818-139-217,15.8664,13.0384,0,26.5546,1,2.3502,,,
135-82-379-151,300-695-251-19,5.9049,4.9433,0,10.8351,1,0.0131,,,
8-256-203-522,995-777-929-379,24.9449,9.702,0,31.2972,1,3.3497,,,
80-555-145-135,312-75-59-372,15.7611,22.1265,0,37.7806,1,0.107,,,
470-704-13-929,170-846-142-180,15.6101,22.9653,0,29.0762,1,9.4992,,,
104-82-913-13,457-266-148-209,9.4263,6.8706,0,16.1262,1,0.1707,,,
110-7-133-200,606-519-76-659,5.2596,5.8728,0,11.1489,0,-0.0165,,,
913-361-151-75,133-809-152-400,21.3339,10.9394,0,29.0888,1,3.1845,,,
323-251-362-904,704-153-180-301,4.8248,9.7304,0,14.0526,1,0.5026,,,
417-284-523-622,364-96-1-300,10.6424,169.7693,0,174.1266,1,6.2851,,,
555-23-488-67,180-358-759-593,15.2837,5.3246,0,20.4988,1,0.1095,,,
595-573-15-446,995-210-746-82,13.8988,5.6048,0,18.6157,1,0.8879,,,
446-364-187-902,118-430-8-30,5.5457,24.4985,0,29.991,1,0.0532,,,
559-439-33-372,316-611-23-207,6.2262,14.401,0,20.5415,1,0.0857,,,
626-559-601-512,396-75-16-929,5.0603,24.3725,0,29.0609,1,0.3719,,,
722-543-298-972,23-901-298-695,4.6951,9.8438,1.128,13.3653,1,0.0456,,,
101-665-113-319,505-482-117-523,12.6767,5.7963,0,18.0757,1,0.3973,,,
268-73-379-210,331-396-43-28,6.4896,11.1398,0,17.2728,1,0.3566,,,
142-595-21-606,301-396-379-208,21.1011,5.1159,0,26.5525,0,-0.3355,,,
200-186-104-319,239-108-169-245,4.4713,12.0177,0,16.1393,1,0.3497,,,
27-950-382-979,317-817-652-239,6.5463,10.9432,0,17.4934,0,-0.0039,,,
6-133-413-830,113-61-520-403,24.0538,27.3095,0,37.7427,1,13.6206,,,
135-137-48-43,283-75-417-135,26.7404,25.402,2.5254,37.8977,1,11.7193,,,
23-19-505-15,396-186-622-323,17.6529,5.3694,0,23.1447,0,-0.1224,,,
901-152-43-830,950-559-86-558,11.5162,4.6276,0,15.9729,1,0.1709,,,
117-186-995-20,163-950-555-112,5.1678,24.2594,0,28.7721,1,0.6551,,,
48-52-361-21,143-21-924-421,28.3002,21.8085,16.9455,33.0809,1,0.0823,,,
759-558-830-185,139-169-135-1,5.1166,172.9219,0,177.0917,1,0.9468,,,
419-815-650-648,110-307-488-145,4.6762,10.2157,0,14.8908,1,0.0011,,,
120-8-764-413,6-239-331-32,25.5711,25.7286,0,39.3926,1,11.9071,,,
241-665-165-379,430-553-307-489,9.92,6.007,0,15.9247,1,0.0023,,,
402-317-601-27,417-695-247-80,10.7287,14.2467,0,25.4293,0,-0.4539,,,
924-559-365-927,233-11-652-523,4.9268,6.8832,0,11.8076,1,0.0024,,,
559-593-759-123,300-70-316-559,4.3895,5.0396,1.0305,8.3977,1,0.0009,,,
523-650-315-366,566-272-419-192,7.5869,11.958,0,19.5932,0,-0.0483,,,
251-169-555-522,927-221-606-37,11.723,9.2912,0,19.1669,1,1.8473,,,
622-30-342-358,950-118-470-236,6.0667,4.7525,0,10.7456,1,0.0736,,,
709-616-70-695,361-113-256-115,4.8872,14.41,0,20.5249,0,-1.2277,,,
622-362-159-482,333-358-928-433,4.4729,20.4681,0,25.7062,0,-0.7652,,,
559-203-209-116,298-153-170-187,5.0036,22.9452,0,27.9546,0,-0.0058,,,
227-331-181-543,665-112-759-608,4.7481,23.1642,0,27.8251,1,0.0872,,,
214-543-113-429,616-148-497-704,16.1332,10.4979,0,25.0476,1,1.5835,,,
142-47-204-929,566-185-43-331,12.1704,4.5621,0,16.419,1,0.3135,,,
396-247-621-413,283-186-995-557,6.515,5.1637,0,11.6522,1,0.0265,,,
70-482-1-93,116-139-716-83,170.8075,5.68,0,175.2169,1,1.2706,,,
110-217-333-931,436-82-86-979,23.7456,5.4156,0,29.4199,0,-0.2587,,,
433-595-115-272,207-704-247-26,11.3351,15.0938,0,24.0215,1,2.4074,,,
96-323-704-153,116-5-439-543,9.5191,5.1975,0,14.9798,0,-0.2632,,,
396-139-558-213,83-665-603-913,5.2867,9.5224,0,14.5776,1,0.2315,,,
221-961-80-413,101-139-23-96,9.5959,11.6571,0,19.578,1,1.675,,,
204-301-488-557,169-338-55-611,4.3692,23.9172,0,29.3533,0,-1.0669,,,
817-573-13-214,55-133-439-294,13.845,22.5019,0,33.7828,1,2.5641,,,
404-307-126-159,622-20-929-37,4.4966,12.7602,0,17.6014,0,-0.3446,,,
43-379-558-19,709-872-817-55,5.2681,22.2177,0,27.8246,0,-0.3388,,,
364-48-256-365,143-403-170-6,21.9768,27.9918,0,35.84,1,14.1286,,,
904-75-566-106,208-611-555-8,22.1048,25.1788,0,33.8865,1,13.3971,,,
830-30-519-113,192-70-553-228,12.821,11.8763,0,23.6263,1,1.071,,,
336-256-23-603,289-626-433-962,15.0056,6.3061,0,20.7281,1,0.5836,,,
37-470-695-59,67-145-75-55,8.8973,37.5338,0,42.1192,1,4.3119,,,
272-979-722-457,436-169-142-522,6.892,13.5865,0,20.3533,1,0.1252,,,
497-187-200-323,214-49-316-562,5.2058,9.3279,0,14.5139,1,0.0198,,,
317-117-635-429,115-872-200-709,10.9166,9.2214,0,19.646,1,0.492,,,
950-430-929-543,5-241-457-543,9.8222,9.499,1.2741,17.4232,1,0.6239,,,
593-23-413-979,747-362-626-417,10.5971,10.5198,0,20.1773,1,0.9396,,,
818-557-746-5,19-661-616-621,10.7537,5.8163,0,16.17,1,0.4,,,
284-159-26-616,962-112-555-505,5.1218,25.4258,0,28.702,1,1.8456,,,
306-32-528-251,153-139-22-306,12.6832,7.3127,2.0215,17.09,1,0.8844,,,
82-1-312-272,489-558-404-284,171.4671,5.2856,0,175.6271,1,1.1256,,,
115-306-652-19,2-333-58-488,11.8504,32.6961,0,40.3106,1,4.2359,,,
59-159-112-622,101-593-928-436,22.8595,6.9013,0,29.3763,1,0.3845,,,
58-200-331-251,13-488-203-294,5.3145,9.7572,0,14.8285,1,0.2432,,,
67-402-116-566,979-110-929-247,9.5329,9.0171,0,19.0953,0,-0.5453,,,
133-928-110-307,995-117-266-379,5.3145,6.006,0,11.3427,0,-0.0222,,,
272-558-470-294,112-139-33-170,7.3803,31.6834,0,37.8158,1,1.2479,,,
316-163-622-557,73-595-372-256,4.501,6.0761,0,10.546,1,0.0311,,,
393-13-186-402,152-26-183-272,10.825,13.3968,0,22.7501,1,1.4717,,,
159-436-809-746,433-505-519-695,6.1601,6.0241,0,12.0854,1,0.0988,,,
11-872-323-175,228-136-37-470,5.3449,10.7351,0,16.1694,0,-0.0894,,,
553-413-236-319,430-13-7-652,6.0563,10.4337,0,16.2664,1,0.2236,,,
67-372-55-70,247-902-622-208,27.93,4.6724,0,33.2528,0,-0.6504,,,
82-559-256-446,126-904-163-319,4.8084,4.5458,0,9.3479,1,0.0063,,,
13-15-616-152,396-413-5-972,20.3859,6.5706,0,26.697,1,0.2595,,,
284-5-573-566,300-362-522-913,5.3787,4.7689,0,10.1358,1,0.0118,,,
208-659-396-251,961-704-652-200,5.0894,10.3546,0,15.4274,1,0.0166,,,
366-101-70-239,272-55-19-183,9.9735,25.1211,0,34.5691,1,0.5255,,,
400-759-148-104,43-116-101-523,5.3132,6.0385,0,11.2409,1,0.1108,,,
33-23-323-307,312-512-557-558,12.1858,5.2885,0,17.1688,1,0.3055,,,
239-759-80-106,317-8-1-118,8.5817,173.2463,0,176.9393,1,4.8887,,,
137-300-407-362,695-19-175-652,7.0222,5.5202,0,12.5383,1,0.0041,,,
118-1-336-927,116-436-86-601,170.8376,5.7648,0,174.9548,1,1.6476,,,
106-301-187-650,133-622-187-608,5.7616,5.6289,1.5379,9.8634,0,-0.0108,,,
155-203-747-566,421-284-929-39,5.3153,10.5449,0,16.2707,0,-0.4105,,,
338-48-108-75,704-695-650-315,28.3577,9.9454,0,33.0331,1,5.27,,,
759-204-163-80,266-528-365-446,8.7725,5.8454,0,14.5024,1,0.1155,,,
505-251-185-393,15-603-192-927,6.0058,19.5482,0,25.4099,1,0.1441,,,
39-336-120-759,76-28-312-573,6.5997,11.2646,0,17.3358,1,0.5285,,,
181-562-93-312,695-180-379-208,10.6878,4.4851,0,14.7182,1,0.4547,,,
601-429-209-543,13-39-58-559,5.547,10.23,0,15.8528,0,-0.0758,,,
413-404-361-256,601-133-180-901,4.938,5.2422,0,10.192,0,-0.0118,,,
403-457-603-361,169-979-393-210,9.8941,12.8125,0,20.8191,1,1.8875,,,
32-488-48-35,228-251-210-366,25.73,9.0736,0,35.3289,0,-0.5253,,,
358-266-49-648,497-593-155-207,6.036,11.1708,0,17.3321,0,-0.1253,,,
621-39-566-61,815-929-972-704,21.4099,13.8884,0,28.3852,1,6.9131,,,
170-333-659-136,317-183-616-747,27.0785,10.0325,0,36.6059,1,0.5051,,,
661-58-113-165,626-148-364-927,13.6052,5.1437,0,19.0365,0,-0.2876,,,
962-764-106-366,482-408-404-32,8.2564,12.4524,0,20.0906,1,0.6182,,,
203-15-626-927,7-75-204-151,12.1532,21.647,0,30.5928,1,3.2074,,,
133-336-21-49,379-928-32-200,22.4592,11.6056,0,29.7089,1,4.3559,,,
724-301-214-315,7-931-659-950,12.7405,5.2573,0,18.0608,0,-0.063,,,
396-76-108-221,929-979-474-26,6.3698,23.1924,0,29.3272,1,0.235,,,
421-972-217-365,284-251-208-233,9.604,5.8135,0,15.3867,1,0.0308,,,
338-137-929-175,118-163-659-497,11.5191,4.8398,0,16.2805,1,0.0784,,,
6-928-73-439,709-15-553-338,23.6018,12.8519,0,31.9558,1,4.4979,,,
245-429-716-16,421-228-101-650,7.3965,8.242,0,15.4694,1,0.1691,,,
304-439-573-28,169-474-419-301,10.3661,23.9053,0,30.2061,1,4.0653,,,
283-117-470-265,187-446-366-183,5.9326,8.7668,0,14.6917,1,0.0077,,,
846-16-123-430,27-323-404-648,5.8138,5.1411,0,10.9508,1,0.0041,,,
333-995-236-228,659-210-82-872,20.6192,4.8918,0,25.0336,1,0.4774,,,
888-221-611-716,247-28-298-210,5.4693,11.3912,0,16.9996,0,-0.1391,,,
307-421-80-33,626-661-153-419,11.7775,4.8296,0,16.5678,1,0.0393,,,
393-289-972-272,241-37-179-553,9.1487,28.0967,0,37.0488,1,0.1966,,,
32-284-101-61,82-192-336-818,24.4681,14.9688,0,33.5192,1,5.9177,,,
635-815-558-221,400-333-110-396,5.2827,20.2105,0,26.8051,0,-1.3119,,,
573-126-175-522,82-181-21-336,4.7943,21.6123,0,25.3859,1,1.0207,,,
251-227-80-421,143-323-818-13,10.3785,13.3719,0,22.9823,1,0.7681,,,
101-187-559-26,113-142-241-622,6.9472,16.8186,0,22.4376,1,1.3282,,,
469-902-616-47,213-169-815-116,6.5111,11.0639,0,17.7365,0,-0.1615,,,
365-979-522-67,665-245-15-256,9.6719,12.9279,0,22.3978,1,0.202,,,
626-493-436-312,137-32-961-323,5.3309,13.8278,0,19.4312,0,-0.2725,,,
8-716-96-204,247-86-75-436,25.249,23.2584,0,37.5086,1,10.9988,,,
133-483-316-30,181-393-408-616,5.788,5.7931,0,11.5835,0,-0.0024,,,
265-979-126-419,650-15-433-180,4.648,13.1856,0,17.6259,1,0.2077,,,
116-43-70-83,289-139-312-319,5.5246,6.4963,0,11.9356,1,0.0853,,,
294-312-96-80,123-265-962-203,9.3815,4.46,0,13.853,0,-0.0115,,,
621-924-403-35,361-152-136-16,6.0905,12.4422,0,19.21,0,-0.6773,,,
474-489-180-2,304-338-300-553,35.5382,5.1518,0,40.0553,1,0.6347,,,
170-483-5-519,364-482-165-402,23.5704,5.6104,0,28.4357,1,0.7451,,,
213-272-622-489,566-446-164-913,7.2242,10.1183,0,17.3422,1,0.0003,,,
7-616-407-924,365-888-19-403,5.324,5.3493,0,10.2566,1,0.4167,,,
19-208-18-139,520-616-555-58,35.884,8.1523,0,43.418,1,0.6183,,,
433-22-304-115,365-23-489-186,11.5117,11.2218,0,20.2093,1,2.5242,,,
872-2-342-21,28-39-497-272,33.3678,12.8628,0,42.2285,1,4.0021,,,
23-747-170-372,601-233-58-13,24.6294,11.3902,0,31.7051,1,4.3145,,,
648-179-48-817,117-317-16-695,29.8645,11.9018,0,41.3357,1,0.4306,,,
108-817-648-82,43-207-5-35,4.6633,11.1841,0,15.4192,1,0.4282,,,
5-439-96-268,402-118-888-429,4.9741,4.8204,0,9.7067,1,0.0878,,,
312-208-27-528,520-904-135-37,5.1191,13.4619,0,18.3003,1,0.2807,,,
573-251-950-904,208-52-7-747,4.5706,4.7368,0,9.3137,0,-0.0063,,,
256-19-101-972,446-413-108-904,6.3493,5.8477,0,10.812,1,1.385,,,
83-11-436-901,152-22-407-11,6.2235,13.7721,1.8087,17.0734,1,1.1135,,,
48-372-227-1,30-300-417-358,173.0585,11.0998,0,178.5684,1,5.5899,,,
236-747-846-419,301-616-342-82,4.643,4.9548,0,9.5688,1,0.029,,,
566-192-227-179,169-300-307-16,24.2237,12.9889,0,32.6232,1,4.5894,,,
555-402-236-153,746-8-123-379,5.0808,24.8643,0,30.6565,0,-0.7114,,,
659-59-228-152,181-8-470-366,10.7195,28.3321,0,35.486,1,3.5656,,,
872-979-110-559,59-888-652-648,4.2723,4.8776,0,9.1323,1,0.0176,,,
519-382-595-372,155-251-204-307,6.8776,5.6688,0,12.5225,1,0.0239,,,
159-961-30-19,35-404-493-21,4.8784,20.1872,0,25.2344,0,-0.1688,,,
180-316-245-365,204-35-562-136,5.0589,6.2528,0,11.3157,0,-0.004,,,
317-474-55-519,809-523-759-228,34.3658,5.2491,0,38.8521,1,0.7628,,,
317-353-306-364,175-283-23-83,10.6622,10.7771,0,22.2114,0,-0.7721,,,
830-23-186-75,505-6-289-8,23.9634,33.449,0,41.2524,1,16.16,,,
208-559-233-16,497-558-846-661,6.8656,5.105,0,11.9515,1,0.0191,,,
180-307-18-135,333-413-469-245,36.5229,21.37,0,45.3734,1,12.5195,,,
221-135-7-43,342-186-593-163,6.4874,5.5106,0,11.8896,1,0.1084,,,
622-815-603-331,316-601-120-247,9.8971,5.3375,0,14.9702,1,0.2644,,,
175-928-408-43,704-110-108-566,5.6226,9.4877,0,15.0096,1,0.1007,,,
245-558-284-379,227-106-6-59,5.5176,22.8886,0,28.2662,1,0.14,,,
316-593-555-306,133-439-152-43,5.4956,11.389,0,16.2081,1,0.6765,,,
562-116-13-470,961-393-170-483,10.4797,23.6251,0,29.4678,1,4.637,,,
483-15-256-913,1-557-901-520,13.0283,172.7673,0,179.7479,1,6.0477,,,
58-396-904-724,358-809-331-251,10.4493,5.7018,0,15.8306,1,0.3205,,,
365-294-616-137,133-635-203-118,7.2511,5.2477,0,12.5009,0,-0.0021,,,
143-22-104-747,116-306-722-137,6.3328,7.75,0,14.0203,1,0.0625,,,
23-8-446-70,846-333-110-148,27.6857,20.6575,0,36.4686,1,11.8746,,,
962-704-151-403,82-650-15-208,10.2028,12.1468,0,21.2907,1,1.0589,,,
80-764-75-400,815-80-133-101,25.3334,10.9971,5.3869,31.018,0,-0.0744,,,
15-239-18-846,512-186-972-204,40.2225,5.3357,0,44.7564,1,0.8018,,,
48-659-49-601,2-929-73-8,23.5594,37.1298,0,48.3773,1,12.3119,,,
106-573-928-336,979-47-722-333,6.7855,20.4742,0,28.9831,0,-1.7234,,,
429-557-209-86,59-319-209-236,5.3939,5.1674,1.7468,8.7881,1,0.0264,,,
43-333-972-722,126-603-665-950,19.7872,9.2355,0,25.5571,1,3.4656,,,
35-430-403-283,115-362-163-142,5.8698,10.8946,0,16.7453,1,0.0191,,,
185-43-151-5,616-82-108-995,5.2773,4.4045,0,9.5817,1,0.1001,,,
523-28-704-241,433-152-365-164,17.9303,14.863,0,28.5299,1,4.2634,,,
