greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
0-37-42,0-37-42,35.88000,35.88000,35.88000,35.88000,1.00000,5.00000
0-15-1,0-1-15,35.73000,35.73000,35.73000,35.73000,1.00000,6.00000
0-6-15,0-6-15,35.49000,35.49000,35.49000,35.49000,1.00000,7.00000
0-15-1,0-37-48,35.43000,35.43000,35.47000,35.47000,0.99887,8.00000
0-6-37,0-15-48,35.43000,35.43000,35.55000,35.55000,0.99662,9.00000
1-0-15,0-1-15,36.42000,36.42000,36.42000,36.42000,1.00000,0.00000
1-0-15,0-1-15,36.59000,36.59000,36.59000,36.59000,1.00000,1.00000
1-0-15,0-1-15,36.65000,36.65000,36.65000,36.65000,1.00000,2.00000
1-0-15,0-1-15,36.67000,36.67000,36.67000,36.67000,1.00000,3.00000
1-0-15,0-1-15,36.68000,36.68000,36.68000,36.68000,1.00000,4.00000
1-0-15,0-1-15,36.60000,36.60000,36.60000,36.60000,1.00000,5.00000
1-0-15,0-1-15,36.57000,36.57000,36.57000,36.57000,1.00000,6.00000
1-0-15,0-1-15,36.09000,36.09000,36.09000,36.09000,1.00000,7.00000
1-0-15,0-1-15,36.38000,36.38000,36.38000,36.38000,1.00000,8.00000
1-0-15,0-1-15,36.25000,36.25000,36.25000,36.25000,1.00000,9.00000
1-0-15,0-1-15,36.21000,36.21000,36.21000,36.21000,1.00000,0.00000
1-0-15,0-1-15,36.71000,36.71000,36.71000,36.71000,1.00000,1.00000
0-1-15,0-1-15,36.32000,36.32000,36.32000,36.32000,1.00000,2.00000
1-0-15,0-1-15,36.45000,36.45000,36.45000,36.45000,1.00000,3.00000
0-6-37,1-8-15,36.55000,36.55000,36.62000,36.62000,0.99809,4.00000
1-0-15,0-15-37,36.53000,36.53000,36.72000,36.72000,0.99483,5.00000
1-0-15,0-1-15,36.38000,36.38000,36.38000,36.38000,1.00000,6.00000
0-1-15,0-1-15,36.03000,36.03000,36.03000,36.03000,1.00000,7.00000
1-37-42,0-15-37,35.96000,35.96000,36.34000,36.34000,0.98954,8.00000
0-1-15,0-1-15,36.16000,36.16000,36.16000,36.16000,1.00000,9.00000
