K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos
0-18-6-37,37-2-0-15,23.75,24.34,21.94,26.16,0.00,-0.01
48-37-20-2,15-8-37-20,4.57,7.49,2.24,9.78,1.00,0.05
15-8-20-2,8-20-2-15,7.71,7.70,7.69,7.69,1.00,0.04
0-37-8-2,8-48-2-18,24.24,8.40,5.00,25.89,1.00,1.75
0-15-2-18,20-2-37-48,23.98,4.58,1.24,27.26,1.00,0.07
18-37-8-20,15-8-0-2,8.33,24.54,3.79,27.40,1.00,1.68
37-48-20-0,37-48-8-20,24.19,7.16,3.34,25.40,1.00,2.61
15-48-2-37,0-37-8-15,4.81,24.44,2.48,26.58,1.00,0.20
8-18-37-20-15,8-0-2-18-48,9.78,24.91,6.09,28.43,1.00,0.17
2-8-6-20-15,8-2-0-20-15,9.42,25.78,7.72,26.96,1.00,0.52
48-37-15-0-8,6-37-8-48-2,25.46,8.80,5.87,27.75,1.00,0.63
48-37-18-2-8,18-6-8-37-20,9.42,10.06,7.10,12.36,1.00,0.02
15-20-8-37-6,2-20-6-0-15,9.16,25.77,4.46,27.99,1.00,2.48
6-15-0-18-37,6-15-8-48-37,25.06,9.00,4.23,27.28,1.00,2.55
15-2-18-8-48,6-18-48-0-37,9.87,24.79,3.60,28.39,1.00,2.67
6-8-37-2-0,2-48-18-20-0,25.43,24.95,22.06,28.31,1.00,0.00
37-6-0-18-8,48-15-8-2-20,24.95,8.78,3.83,29.62,1.00,0.27
8-0-2-48-15,20-48-15-8-18,25.57,9.89,6.35,27.44,1.00,1.67
37-48-8-6-2,15-48-6-0-37,8.81,25.45,3.85,27.77,1.00,2.65
8-2-20-0-48,48-37-0-20-15,25.51,25.51,23.23,27.80,0.00,-0.00
48-15-37-8-20,20-37-6-2-0,8.57,25.49,2.24,29.00,1.00,2.83
2-8-48-6-20,37-8-18-0-15,9.05,25.06,3.82,29.64,1.00,0.65
6-2-0-15-18,6-8-2-20-48,25.17,9.06,2.99,28.62,1.00,2.62
48-6-2-20-15,15-20-2-8-6,6.80,9.40,5.70,10.50,1.00,0.01
37-15-48-20-6,8-18-37-6-0,6.56,24.94,2.75,28.52,1.00,0.23
8-6-20-2-37,18-2-15-6-48,8.95,8.06,2.99,13.82,1.00,0.20
6-20-2-37-8,20-15-6-0-18,8.96,25.29,2.99,28.61,1.00,2.65
2-18-37-6-20,8-48-0-37-18,7.72,24.79,3.50,28.33,1.00,0.68
0-20-37-15-2,8-2-0-6-15,25.59,25.74,23.36,27.96,1.00,0.01
18-20-2-15-8,48-37-6-18-2,10.05,7.58,3.74,13.79,1.00,0.11
15-20-6-2-48,48-15-8-20-2,6.80,8.82,5.05,10.52,1.00,0.04
18-2-20-15-37,2-18-37-48-20,7.46,7.07,5.97,8.55,1.00,0.01
2-20-6-15-0,37-6-20-2-48,25.78,6.32,4.22,27.82,1.00,0.06
8-18-20-15-6,15-6-48-20-0,10.50,25.70,4.46,27.51,1.00,4.23
20-15-2-0-6,37-2-0-20-6,25.79,25.50,24.48,26.79,1.00,0.02
37-18-15-8-6,37-6-20-0-8,10.25,25.56,6.50,27.48,1.00,1.82
15-20-18-6-48,15-8-0-6-2,8.06,25.74,3.22,28.61,1.00,1.97
18-37-20-2-48,18-20-2-6-8,7.08,10.26,4.97,12.36,1.00,0.01
37-15-2-48-18,8-2-18-20-48,7.31,9.62,4.84,12.10,0.00,-0.00
20-18-15-48-37,2-48-6-20-37,7.32,6.32,3.34,10.30,1.00,0.00
15-8-2-18-0,0-15-2-20-37,25.17,25.59,23.36,27.41,0.00,-0.01
2-20-15-0-18,20-18-37-2-8,25.22,9.54,4.98,27.41,1.00,2.37
0-6-48-18-2,18-0-15-8-6,24.89,25.25,22.76,27.38,1.00,0.00
2-15-6-20-37,6-8-37-15-48,6.70,9.05,4.23,11.51,1.00,0.02
37-20-2-15-48,2-18-6-48-8,6.05,10.14,2.34,13.80,1.00,0.05
15-37-2-8-0,20-2-48-37-0,25.57,25.33,23.07,27.81,1.00,0.02
15-8-6-20-18,37-18-0-8-6,10.48,24.96,7.82,27.48,1.00,0.13
37-0-20-15-8,8-18-15-48-0,25.67,25.08,23.44,27.32,1.00,0.00
