K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,-0.2651
8-21-93,1976/6/28,6.9048,5.8656,0,10.998,1,1.7724,,,
1-49-48,37-20-76,24.915,3.9731,0,27.1214,1,1.7667,,,
1961/8/18,21-15-32,5.0271,6.7542,0,11.5939,1,0.1874,,,
67-21-28,21-33-67,6.6488,6.2783,5.2256,7.7264,0,-0.0249,,,
1-28-93,93-32-61,25.1292,4.1354,1.0345,26.4997,1,1.7304,,,
1-48-76,2002/8/28,25.5673,5.3654,0,28.3994,1,2.5333,,,
6-49-15,61-20-21,5.7435,6.2878,0,10.2143,1,1.817,,,
67-21-22,6-20-22,6.3212,5.5653,1.1018,9.037,1,1.7477,,,
33-28-49,18-2-76,3.7974,5.0293,0,8.7903,1,0.0364,,,
2-93-37,2028/6/8,4.5913,6.5882,0,10.1685,1,1.011,,,
93-21-15,48-18-28,6.3096,5.457,0,11.7454,1,0.0212,,,
33-28-8,76-15-22,4.4234,3.4366,0,7.8141,1,0.0459,,,
20-61-76,1993/6/28,3.4867,5.908,0,8.9709,1,0.4238,,,
28-18-6,18-67-32,6.7959,5.0205,1.9567,9.3181,1,0.5416,,,
20-28-37,93-33-15,4.4228,3.3265,0,7.8234,0,-0.0741,,,
33-49-8,32-1-93,4.1265,24.0545,0,25.8025,1,2.3785,,,
76-8-93,2006/1/18,3.9612,25.6109,0,28.1351,1,1.437,,,
18-67-48,1-67-32,4.2438,24.1355,1.0986,27.1066,1,0.1741,,,
28-1-67,93-33-67,25.1681,3.1639,1.1044,27.2168,1,0.0108,,,
33-22-93,48-61-8,3.1692,5.0277,0,8.1872,1,0.0097,,,
22-20-93,2018/1/8,3.3691,25.1637,0,27.5735,1,0.9593,,,
61-48-32,32-76-48,5.0606,4.907,3.7983,6.0632,1,0.1061,,,
20-37-49,49-18-32,4.1119,5.1211,1.2335,7.8508,1,0.1487,,,
2-33-28,32-48-21,4.6051,7.294,0,11.2594,1,0.6397,,,
2021/8/1,21-76-18,24.9021,7.0269,4.0168,27.8621,1,0.0501,,,
1-37-28,8-22-18,25.155,4.915,0,28.5862,1,1.4838,,,
33-49-15,28-93-49,3.5321,3.8212,1.2339,6.0816,1,0.0378,,,
37-21-15,21-67-6,6.4557,6.6981,4.0767,8.9989,1,0.0782,,,
1-37-93,8-18-1,24.828,25.2043,22.8438,27.1986,0,-0.0101,,,
48-67-33,2028/6/18,3.3412,6.7653,0,10.1965,0,-0.09,,,
28-22-93,48-22-37,3.673,4.8374,1.1026,7.3716,1,0.0362,,,
32-20-28,32-49-2,4.7659,4.9475,1.912,7.409,1,0.3924,,,
6-21-76,32-33-1,6.7557,24.0854,0,27.6469,1,3.1942,,,
1948/1/21,37-93-48,26.3199,4.6794,1.9695,28.2896,1,0.7402,,,
1-2-33,76-15-93,24.7802,3.3667,0,27.8485,1,0.2984,,,
49-61-1,15-18-20,24.1642,4.4681,0,27.4356,1,1.1967,,,
49-20-48,18-93-2,4.4427,5.0368,0,9.1445,1,0.335,,,
49-48-2,93-2-37,5.1801,4.5106,2.0298,7.7475,0,-0.0866,,,
8-15-37,37-28-76,4.8192,4.31,1.7523,7.3483,1,0.0286,,,
28-21-1,33-37-8,25.828,4.5778,0,28.2848,1,2.121,,,
20-2-76,93-21-1,4.0345,25.4136,0,27.6848,1,1.7633,,,
2021/2/18,37-33-21,7.4557,6.2347,4.0339,9.6896,0,-0.0331,,,
21-6-37,20-49-76,6.8338,3.5466,0,10.1117,1,0.2687,,,
2022/8/21,20-93-8,6.7104,4.1128,1.8499,9.0331,0,-0.0598,,,
8-21-32,8-37-61,7.1677,4.7122,1.8551,9.3694,1,0.6554,,,
15-93-61,2-28-22,3.5058,4.6468,0,8.1892,0,-0.0366,,,
32-67-37,2-33-18,4.5751,4.9921,0,9.2331,1,0.3341,,,
48-22-15,18-28-15,4.3312,4.7373,1.2741,7.813,0,-0.0186,,,
2-20-37,2-28-22,4.5261,4.6533,2.0368,7.1998,0,-0.0572,,,
1-15-37,37-15-28,24.8764,4.4639,2.9398,26.2065,1,0.194,,,
67-20-6,49-28-20,5.5688,4.0107,1.2344,8.1409,1,0.2042,,,
15-18-20,37-2-67,4.4474,4.5793,0,8.7591,1,0.2676,,,
1961/8/15,20-18-33,4.3157,4.2165,0,8.5528,0,-0.0206,,,
37-2-67,18-76-1,4.6429,25.7596,0,28.7258,1,1.6767,,,
18-48-32,6-20-48,5.8353,6.4427,1.9613,9.7304,1,0.5863,,,
2015/1/18,33-76-93,25.8332,3.1333,0,28.8519,1,0.1146,,,
67-48-93,28-67-21,3.3365,6.5284,1.1004,8.862,0,-0.0975,,,
33-61-28,93-22-76,3.7634,3.2012,0,6.9257,1,0.0389,,,
32-37-67,2001/2/21,4.5821,25.4367,0,27.7836,1,2.2352,,,
1948/2/15,8-20-32,5.2358,5.008,0,9.7384,1,0.5054,,,
37-33-48,37-49-76,4.6939,4.0196,1.6989,6.9406,1,0.074,,,
