K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,-0.2651
18-37-2,67-18-15,5.5671,4.325,1.9555,7.9098,1,0.0268,,,
28-22-15,76-2-67,3.9161,4.1611,0,8.0303,1,0.0469,,,
33-15-28,21-22-8,3.8253,6.8652,0,10.5829,1,0.1076,,,
1937/1/28,15-61-32,25.2209,4.4017,0,27.5724,1,2.0502,,,
67-49-2,1948/6/2,4.286,6.7055,1.9984,8.2389,1,0.7542,,,
48-49-18,32-37-76,5.164,4.5092,0,9.5756,1,0.0976,,,
67-2-93,20-15-1,4.106,24.134,0,27.0642,1,1.1758,,,
18-61-1,93-6-32,25.7444,5.6344,0,27.9821,1,3.3967,,,
2-28-37,67-15-2,5.1175,4.312,2.0425,7.4034,0,-0.0164,,,
20-18-6,22-15-76,6.4664,3.4337,0,9.8489,1,0.0512,,,
8-93-32,20-48-32,4.8171,5.1719,2.0047,7.9487,1,0.0356,,,
93-20-48,28-22-8,4.2347,4.4837,0,8.7368,0,-0.0184,,,
18-37-20,76-49-33,4.8785,3.3309,0,8.1448,1,0.0646,,,
2-15-1,37-20-33,24.8464,3.9973,0,27.0539,1,1.7898,,,
28-2-32,1933/2/28,5.3435,4.588,3.5572,6.3456,1,0.0287,,,
2-48-76,8-33-20,5.0133,4.1212,0,8.7815,1,0.353,,,
32-15-28,1-33-6,4.6679,24.7389,0,27.5084,1,1.8984,,,
15-93-6,48-20-6,5.6637,6.448,3.2577,8.6857,1,0.1683,,,
67-33-32,37-15-20,4.0627,4.2043,0,8.0157,1,0.2513,,,
67-33-2,48-21-18,4.2018,7.9828,0,10.8277,1,1.3569,,,
48-22-32,22-6-76,4.9964,5.3235,1.102,8.5625,1,0.6554,,,
8-67-21,18-15-93,6.8772,4.2493,0,11.2028,0,-0.0763,,,
15-48-22,67-33-15,4.3211,3.397,1.2764,5.6934,1,0.7483,,,
22-33-18,21-8-48,4.0964,7.6341,0,11.7524,0,-0.0219,,,
15-22-6,48-76-32,5.755,4.9724,0,9.9732,1,0.7542,,,
2002/1/21,61-33-22,25.4578,3.34,0,28.5315,1,0.2663,,,
20-15-32,20-33-48,4.4613,4.2396,1.2351,7.36,1,0.1058,,,
61-76-18,8-33-76,4.1878,3.9338,1.0717,7.045,1,0.0049,,,
18-2-76,93-15-21,5.0542,6.4224,0,10.7942,1,0.6824,,,
2022/1/8,22-61-49,24.3642,3.5295,1.1037,25.6186,1,1.1714,,,
28-2-67,67-22-2,4.6313,4.2198,3.0605,5.7367,1,0.0539,,,
67-48-21,18-22-76,6.4345,4.1102,0,10.3995,1,0.1452,,,
32-48-2,61-76-6,5.7556,5.4151,0,10.1304,1,1.0403,,,
61-15-76,8-6-67,3.4882,6.0285,0,9.3502,1,0.1665,,,
20-76-2,33-93-6,3.9832,5.2953,0,8.8603,1,0.4182,,,
20-37-18,1993/2/15,4.8637,4.2971,0,8.7206,1,0.4402,,,
61-21-48,28-33-6,7.0562,5.8366,0,11.1531,1,1.7397,,,
15-48-21,76-37-49,7.3184,3.9963,0,10.639,1,0.6757,,,
37-21-8,21-15-61,6.8512,6.4426,4.0947,9.4496,0,-0.2505,,,
1976/8/21,21-28-33,6.9075,6.641,4.0867,9.2873,1,0.1745,,,
33-2-61,76-61-33,4.3215,3.2366,2.2602,5.3923,0,-0.0944,,,
20-48-93,21-15-32,4.2298,6.7365,0,10.8797,1,0.0866,,,
28-32-2,1948/6/18,5.3466,7.2598,0,11.4354,1,1.171,,,
93-76-18,48-22-37,4.0287,4.7717,0,8.7528,1,0.0476,,,
2-15-37,21-67-1,4.7839,25.5023,0,28.5526,1,1.7336,,,
2015/6/22,48-37-28,5.757,5.2261,0,10.2951,1,0.688,,,
1-21-93,49-6-61,25.4868,5.4883,0,27.6822,1,3.2929,,,
8-93-67,32-37-2,3.9832,5.1445,0,9.041,1,0.0867,,,
6-33-32,32-76-21,5.8224,6.5312,1.9934,8.9565,1,1.4037,,,
1961/8/15,93-21-6,4.3213,6.6924,0,10.7434,1,0.2703,,,
2-20-37,33-93-76,4.4264,3.1186,0,7.6053,0,-0.0603,,,
20-15-8,61-6-48,4.3493,6.305,0,10.4353,1,0.219,,,
20-76-8,1993/1/22,4.1497,24.9242,0,26.6265,1,2.4474,,,
15-37-49,22-28-48,4.1091,4.5907,0,8.7454,0,-0.0456,,,
1949/1/6,67-15-8,24.0335,4.2196,0,26.5644,1,1.6887,,,
33-67-6,33-28-20,5.4688,3.7979,1.0295,8.1017,1,0.1355,,,
8-32-33,76-67-15,4.7725,3.4388,0,8.1926,1,0.0187,,,
48-32-28,6-67-1,5.3915,24.7563,0,27.4207,1,2.7271,,,
1976/6/18,76-15-33,6.3856,3.3562,1.0679,8.4258,1,0.2481,,,
67-37-6,49-93-32,5.6133,4.1556,0,9.0656,1,0.7033,,,
15-2-21-20,6-2-28-67,7.694,7.3476,1.9999,11.7008,1,1.3409,,,
2-18-37-49,37-32-8-49,6.661,6.497,2.9034,10.1042,1,0.1504,,,
93-67-61-18,22-21-67-1,5.2847,26.4782,1.1025,30.4744,1,0.186,,,
15-32-6-93,20-6-37-2,7.0197,6.8652,3.2512,10.3859,1,0.2478,,,
8-22-1-2,6-37-15-67,25.3615,6.7594,0,29.3459,1,2.775,,,
8-93-67-18,6-28-48-21,5.9247,9.1797,0,13.9819,1,1.1225,,,
93-8-22-48,32-48-2-76,5.9575,6.8868,1.9579,10.6264,1,0.26,,,
15-33-93-49,61-93-76-20,4.5609,4.4576,1.0319,8.0182,0,-0.0316,,,
48-20-32-21,15-61-22-21,8.519,7.4624,4.1697,11.8346,0,-0.0229,,,
49-20-37-6,18-37-76-32,6.7824,6.4579,1.7011,11.1025,1,0.4367,,,
8-32-18-28,61-21-33-48,7.2714,8.0916,0,14.6527,1,0.7103,,,
22-1-61-76,20-32-15-18,25.9326,6.3678,0,29.5103,1,2.7901,,,
37-8-49-28,67-61-28-76,6.2469,4.8666,1.5437,9.6182,0,-0.0484,,,
33-93-20-67,28-67-32-22,4.3957,5.6188,1.1033,8.9127,0,-0.0015,,,
15-61-48-8,1-37-8-33,6.3071,25.2203,1.8423,29.1605,1,0.5246,,,
20-49-33-37,32-20-15-28,5.1606,5.9643,1.2389,9.6221,1,0.2639,,,
76-32-2-93,61-48-1-6,5.8848,26.5119,0,29.896,1,2.5007,,,
15-37-61-93,61-6-22-49,5.1967,6.5759,1.2128,9.9998,1,0.56,,,
1-93-15-48,15-1-37-61,26.6976,25.9137,23.8772,28.7153,1,0.0188,,,
20-49-76-1,21-8-1-76,24.3512,25.8776,23.8208,26.44,0,-0.032,,,
22-21-67-49,21-18-76-49,7.4284,8.2403,5.2769,10.2657,1,0.1261,,,
8-93-32-2,32-48-76-1,6.5429,25.9235,1.9836,28.3672,1,2.1156,,,
37-8-6-28,61-6-8-21,7.8077,8.3729,5.0286,10.9313,1,0.2207,,,
93-22-32-76,21-93-37-33,5.1164,7.3076,1.0332,10.4697,1,0.9211,,,
28-76-6-2,28-67-76-93,7.2381,4.7102,2.594,9.4677,0,-0.1134,,,
21-15-28-2,20-93-28-76,8.3596,4.8719,1.5429,11.2625,1,0.4261,,,
18-93-2-21,28-1-18-33,8.5646,27.0776,1.9557,30.8176,1,2.8689,,,
21-18-61-8,18-20-48-67,8.853,5.4818,1.9509,12.3079,1,0.076,,,
6-1-28-76,18-76-32-33,26.0023,5.9312,1.0613,29.3127,1,1.5595,,,
76-32-48-49,48-2-6-32,6.1579,8.0978,3.8772,10.2131,1,0.1654,,,
2-21-8-18,76-33-48-6,9.2372,7.349,0,14.8258,1,1.7604,,,
93-32-20-49,18-61-20-22,5.3649,5.5305,1.2391,9.5732,1,0.0831,,,
48-15-93-18,20-6-67-48,6.2046,7.0236,1.9658,10.9648,1,0.2976,,,
48-76-21-15,32-15-18-76,8.2933,6.2006,2.3229,11.6442,1,0.5268,,,
20-48-76-49,93-15-32-8,5.4986,5.9967,0,11.4514,1,0.0439,,,
20-15-67-93,61-28-18-8,4.6251,6.5437,0,11.1606,1,0.0082,,,
37-28-93-67,49-93-15-32,5.4221,5.4528,1.0303,9.5035,1,0.3411,,,
8-32-48-67,67-15-37-22,6.0423,5.1352,1.1033,9.845,1,0.2292,,,
93-8-20-32,48-22-20-21,5.9908,8.2021,1.2385,12.2538,1,0.7006,,,
21-1-6-22,8-93-33-49,26.4195,5.1576,0,29.1794,1,2.3977,,,
21-1-18-6,49-93-1-61,27.2732,25.0996,22.8188,29.6207,0,-0.0667,,,
32-22-33-76,1-67-28-76,5.1335,26.2304,1.0582,28.5883,1,1.7174,,,
15-22-32-28,76-67-1-18,5.7832,26.7445,0,30.5981,1,1.9296,,,
61-93-8-22,22-8-61-2,5.2008,6.1496,4.1599,7.1464,1,0.0441,,,
8-20-37-67,22-93-6-33,5.7752,6.564,0,11.7294,1,0.6098,,,
28-48-49-76,76-2-37-8,5.8027,6.3984,1.0691,11.1167,1,0.0153,,,
32-1-76-61,21-61-2-6,25.1276,7.9729,1.2227,28.6753,1,3.2025,,,
48-49-18-28,15-1-21-22,6.6808,26.5689,0,31.959,1,1.2907,,,
6-33-67-76,28-76-2-15,6.4752,5.9118,1.0692,10.7117,1,0.6061,,,
76-32-28-20,93-20-67-22,5.7412,4.4718,1.2368,8.9444,1,0.0318,,,
21-49-28-61,2-21-67-15,7.8435,7.8938,4.1459,11.7722,0,-0.1808,,,
61-32-33-21,49-67-93-15,7.5134,4.6159,0,11.9884,1,0.1409,,,
32-15-49-28,6-48-15-49,5.9858,7.7015,2.5047,10.5271,1,0.6555,,,
37-28-6-32,8-18-21-20,7.375,8.9601,0,14.3328,1,2.0023,,,
49-22-33-32,6-67-22-76,5.2012,6.6454,1.1006,10.0589,1,0.6871,,,
28-48-37-20,28-67-93-6,6.3794,6.9737,1.5307,10.4168,1,1.4056,,,
18-8-67-37,21-28-33-15,6.5413,7.9274,0,13.7675,1,0.7012,,,
61-2-8-76,6-2-22-21,6.0928,8.1285,2.0514,11.7555,1,0.4144,,,
6-32-61-67,32-37-18-15,6.7826,6.6319,1.9147,11.1639,1,0.3359,,,
49-6-1-15,22-67-48-32,25.0935,5.335,0,28.5344,1,1.8941,,,
18-33-8-28,18-76-48-49,6.3633,6.235,1.9511,10.6218,1,0.0254,,,
48-93-18-28,33-49-48-8,6.4738,6.1044,1.9746,10.5804,1,0.0232,,,
22-37-32-67,76-32-2-1,5.5513,25.0915,1.9536,28.1986,1,0.4906,,,
28-21-6-2,6-33-28-18,8.5598,7.8117,4.8061,11.5345,1,0.0309,,,
49-1-6-22,6-28-8-93,25.1398,7.5656,3.3224,27.853,1,1.53,,,
61-76-32-37,48-32-28-22,5.658,6.6013,1.8989,10.3174,1,0.043,,,
22-48-21-93,6-37-76-93,8.0475,6.4331,1.0303,11.8105,1,1.6398,,,
2-8-48-1,21-67-15-37,26.0495,7.5518,0,30.0339,1,3.5674,,,
20-33-32-28,32-67-37-1,5.8132,25.1103,1.8917,27.7781,1,1.2537,,,
49-22-8-21,22-93-61-6,7.8659,6.4699,1.1011,11.6445,1,1.5902,,,
8-33-93-22,8-2-22-28,5.018,6.49,2.9431,8.4773,1,0.0876,,,
49-15-93-61,8-93-48-76,4.7453,5.9325,1.0285,9.5433,1,0.106,,,
28-8-22-48,48-1-67-49,6.4489,25.1542,1.9577,28.0631,1,1.5823,,,
49-20-67-93,33-22-18-20,4.6054,5.3116,1.2357,8.6928,0,-0.0115,,,
2-48-1-21,28-1-8-22,27.2313,25.6807,22.8051,30.113,0,-0.0061,,,
28-48-18-33,28-6-15-32,6.482,7.5058,1.5379,12.278,1,0.1719,,,
28-61-6-15,21-61-49-1,7.135,25.732,1.2064,29.1173,1,2.5433,,,
21-49-6-8,61-67-15-32,8.4506,5.5454,0,12.983,1,1.013,,,
28-1-76-67,6-61-20-18,26.1657,7.5484,0,30.3028,1,3.4113,,,
28-2-15-37,8-22-37-20,6.297,5.7713,1.7233,10.1853,1,0.1597,,,
32-48-1-37,21-61-20-28,25.8713,7.8556,0,30.2386,1,3.4883,,,
22-2-33-6,18-8-1-49,6.9414,25.5326,0,29.4926,1,2.9814,,,
33-15-22-1,37-49-21-93,25.9593,7.3993,0,29.8335,1,3.5251,,,
21-22-20-1,37-67-21-33,25.7804,7.3804,4.1156,28.7823,1,0.2629,,,
18-67-76-33,67-8-37-93,5.1477,5.7097,1.1005,9.6958,1,0.0611,,,
48-32-21-28,67-33-61-48,8.7552,4.5421,1.9686,11.3093,1,0.0194,,,
22-33-76-6,8-49-6-22,6.4217,7.3841,4.474,9.4029,0,-0.0711,,,
18-15-37-33,49-22-8-67,5.881,5.2909,0,11.1876,0,-0.0157,,,
2-49-22-21,6-32-67-61,7.7469,6.7733,0,12.4323,1,2.0879,,,
15-37-76-28,49-21-28-6,5.5465,8.3177,1.5414,11.5615,1,0.7613,,,
33-76-22-15,67-8-22-1,4.4516,25.4063,1.0983,28.4687,1,0.2909,,,
28-76-48-18,28-22-37-6,6.5141,7.249,1.552,11.9816,1,0.2295,,,
67-49-28-1,61-76-20-15,25.4277,4.7567,0,28.8614,1,1.323,,,
49-1-8-67,32-61-67-18,24.5563,6.1263,1.0961,27.847,1,1.7395,,,
21-61-67-93,67-76-49-48,7.2719,4.6136,1.1002,10.719,1,0.0663,,,
21-28-2-33,76-1-33-21,8.0633,26.4585,5.2092,28.8198,1,0.4928,,,
18-61-22-49,8-61-37-18,5.5119,6.6047,3.1593,8.9298,1,0.0275,,,
67-21-32-28,21-93-22-76,7.9753,7.1088,4.1114,11.1877,0,-0.215,,,
48-49-15-6,93-1-33-22,7.674,25.9426,0,30.038,1,3.5786,,,
1-76-93-2,93-21-76-48,25.8088,8.2869,2.1066,29.3268,1,2.6623,,,
33-61-28-20,8-21-48-6,5.0316,9.3421,0,14.1328,1,0.2409,,,
8-61-1-22,93-32-49-33,25.3664,5.2093,0,27.9874,1,2.5883,,,
18-6-61-76,21-1-67-20,7.28,25.7649,0,30.6198,1,2.4251,,,
67-37-18-76,67-76-18-6,5.8276,7.4323,4.1226,8.525,1,0.6123,,,
1-28-21-2,33-28-49-22,26.7954,4.9163,1.5342,29.209,1,0.9685,,,
33-37-76-21,67-22-32-15,7.3827,5.3694,0,12.0249,1,0.7272,,,
21-22-8-20,28-61-48-93,7.8956,5.7579,0,13.6603,0,-0.0068,,,
2-33-48-76,48-33-49-18,6.0576,6.1846,2.9996,9.3003,0,-0.0577,,,
48-6-49-8,28-93-76-37,8.1167,5.3232,0,12.7101,1,0.7298,,,
49-61-37-76,76-49-61-22,5.0772,4.5482,3.4586,6.2208,0,-0.054,,,
28-67-49-93,28-93-67-33,4.8765,4.6797,3.6394,5.9178,0,-0.001,,,
48-22-28-21,32-18-48-93,8.6305,6.8632,1.9797,12.8455,1,0.6685,,,
28-1-20-93,20-49-48-32,25.4009,6.2903,1.2401,27.8346,1,2.6165,,,
61-76-67-18,2-1-8-32,5.2889,24.5582,0,29.4805,1,0.3666,,,
32-28-76-15,32-2-15-49,5.7817,6.2375,3.2064,8.8996,0,-0.0868,,,
61-2-15-20,20-61-33-6,5.5025,6.5207,2.4352,9.0481,1,0.5399,,,
33-21-22-8,76-93-8-48,7.8408,5.9111,1.8522,11.8672,1,0.0325,,,
32-49-61-67,67-20-76-6,5.4626,6.5601,1.1003,10.0188,1,0.9036,,,
37-8-32-49,20-76-21-48,6.3748,8.3092,0,13.4973,1,1.1867,,,
15-48-61-76,33-8-6-32,5.4776,7.4826,0,12.5967,1,0.3635,,,
21-49-2-61,6-15-22-32,7.8129,6.9757,0,12.5929,1,2.1957,,,
18-76-48-2,8-1-28-22,7.041,25.6823,0,31.4605,1,1.2628,,,
18-2-67-22,67-18-32-76,6.1516,5.9786,3.0578,8.9942,1,0.0782,,,
8-32-93-33,22-33-8-18,5.838,5.9336,2.8796,8.8109,1,0.0811,,,
37-1-76-49,49-15-1-22,25.1081,25.2356,23.0862,27.2687,0,-0.0112,,,
22-21-33-49,21-49-37-1,7.3412,25.7144,5.256,27.7821,1,0.0175,,,
32-20-8-18,2-93-18-33,6.9362,6.0171,1.9485,10.538,1,0.4668,,,
28-33-22-49,22-76-1-15,4.8968,25.967,1.0998,28.6483,1,1.1157,,,
18-6-15-49,61-8-21-67,7.4978,8.0245,0,13.8422,1,1.6801,,,
2-48-18-32,21-15-76-6,7.6248,7.9169,0,14.3696,1,1.1721,,,
1-15-37-18,21-20-33-2,26.8132,7.5803,0,30.6767,1,3.7168,,,
8-32-61-48,15-67-22-37,6.9164,5.141,0,11.1112,1,0.9462,,,
33-2-21-22,49-33-1-15,7.6385,25.1779,1.0297,28.8564,1,2.9303,,,
6-33-37-61,21-22-15-8,6.5176,8.1453,0,12.7175,1,1.9454,,,
2-67-8-20,37-76-33-20,5.8957,5.0672,1.2298,9.5134,1,0.2197,,,
37-20-48-15,67-2-32-37,6.0936,6.3971,1.7195,9.5674,1,1.2038,,,
67-33-37-49,93-28-76-20,5.0936,4.8743,0,9.8105,1,0.1574,,,
1-21-8-28,37-22-76-18,26.2554,5.8082,0,31.2477,1,0.8159,,,
49-22-61-76,8-49-6-76,4.5412,7.1316,2.3035,9.3321,1,0.0372,,,
15-21-22-67,21-18-61-37,7.3949,8.3197,4.098,11.5703,1,0.0463,,,
28-2-67-33,6-48-32-20,5.6508,7.6985,0,11.7588,1,1.5905,,,
22-67-8-93,20-28-8-2,5.0764,6.3319,1.8464,9.5245,1,0.0374,,,
20-48-6-1,61-49-67-22,25.8364,4.635,0,28.4595,1,2.0119,,,
93-20-28-33,22-1-15-48,4.8336,26.7137,0,30.4287,1,1.1186,,,
33-8-21-76,15-67-2-76,7.8172,5.4624,1.072,11.6506,1,0.557,,,
18-22-37-20,37-33-2-22,5.9786,5.6434,2.7833,8.5185,1,0.3202,,,
37-1-76-22,22-32-67-6,25.9566,6.8648,1.1017,28.1298,1,3.5899,,,
49-22-20-6,37-61-2-76,6.7139,5.8187,0,11.0044,1,1.5282,,,
37-93-8-28,6-28-21-8,6.0567,8.9455,3.3931,10.8329,1,0.7762,,,
28-37-49-22,33-15-37-18,5.6051,5.9095,1.74,9.785,0,-0.0104,,,
15-2-8-21,22-20-6-2,8.4756,6.9544,2.0087,11.9264,1,1.4949,,,
2-6-37-48,1-76-22-18,7.9545,26.8552,0,31.5841,1,3.2256,,,
20-1-18-8,18-33-6-76,25.4586,7.3638,1.9478,28.3787,1,2.4959,,,
49-21-8-33,28-49-15-33,7.9975,5.0861,2.2722,10.6736,1,0.1378,,,
37-6-15-20,6-15-93-21,6.905,7.8896,4.5738,10.2753,0,-0.0545,,,
22-32-1-61,6-28-61-22,25.1755,6.8955,2.2887,27.4952,1,2.2871,,,
20-2-49-48,67-15-61-49,6.1424,4.8134,1.2346,9.0618,1,0.6594,,,
37-49-21-6,15-8-18-49,7.9687,6.3309,1.239,12.7363,1,0.3243,,,
33-15-32-21,28-2-61-93,7.6483,5.8831,0,12.6821,1,0.8493,,,
28-67-6-49,49-6-20-1,7.1669,24.2858,4.4848,26.6993,1,0.2686,,,
15-93-20-49,33-76-28-15,4.7608,4.9102,1.2671,8.3951,1,0.0088,,,
49-67-28-15,33-8-15-21,5.1196,8.0699,1.2695,11.8009,1,0.1191,,,
18-61-1-49,67-18-28-8,26.1176,6.4015,1.9556,28.8974,1,1.6661,,,
33-8-1-21,6-32-93-15,25.9229,7.0133,0,29.2203,1,3.7159,,,
32-33-49-18,33-93-2-61,6.1431,5.3231,1.0293,10.1658,1,0.2711,,,
37-61-6-1,6-48-21-15,25.7084,8.9781,3.3983,30.3017,1,0.9865,,,
1-76-33-28,1-22-61-6,26.1664,25.8248,22.8108,29.1877,0,-0.0073,,,
67-49-76-37,21-33-8-22,5.05,7.8056,0,12.2724,1,0.5832,,,
67-28-2-48,61-67-2-37,5.9082,5.7996,3.1378,8.4831,1,0.0869,,,
18-22-37-32,21-48-2-76,6.4091,8.4793,0,13.7925,1,1.0959,,,
15-61-33-76,49-6-37-28,4.5396,7.2116,0,11.2834,1,0.4678,,,
28-2-21-20,2-22-93-48,8.0117,6.1375,1.979,12.0561,1,0.1141,,,
33-1-49-18,67-33-6-32,26.0225,6.7578,1.0322,28.3344,1,3.4137,,,
49-6-32-22,20-15-28-2,7.0293,5.8144,0,12.0475,1,0.7962,,,
32-61-33-6,8-15-2-33,6.6895,6.1241,1.0306,11.0122,1,0.7708,,,
22-37-21-1,6-37-18-32,26.4832,7.7115,1.6539,29.6288,1,2.912,,,
67-22-2-1,2-32-93-18,25.9002,6.7271,2.0377,29.1375,1,1.4521,,,
33-1-49-21,22-93-21-49,25.8155,7.2383,5.2127,27.7494,1,0.0917,,,
48-37-21-76,76-49-61-18,8.215,5.4393,1.0708,12.4283,1,0.1552,,,
28-37-48-67,32-93-67-49,5.4858,5.3159,1.1056,9.44,1,0.2561,,,
21-61-6-33,20-76-1-15,7.8278,25.1018,0,29.7033,1,3.2263,,,
32-48-22-93,37-76-2-61,5.9677,5.749,0,11.452,1,0.2647,,,
61-37-28-48,20-22-48-93,6.4059,5.3241,1.9806,9.7049,1,0.0445,,,
6-2-49-20,21-15-28-32,6.9178,8.1215,0,13.0723,1,1.967,,,
76-21-15-18,15-20-22-1,8.3043,25.2175,1.2643,29.7063,1,2.5512,,,
93-15-1-32,48-22-20-49,25.1538,5.552,0,28.648,1,2.0578,,,
37-61-48-18,6-33-49-18,6.7748,7.5031,1.9501,11.6182,1,0.7096,,,
93-15-61-28,93-21-22-15,5.0331,7.3777,2.2955,9.9991,1,0.1162,,,
1-8-76-93,93-22-15-8,25.231,5.2302,2.8697,27.3917,1,0.1998,,,
2-8-33-1,21-32-67-76,25.2719,7.4996,0,29.2745,1,3.497,,,
67-2-21-61,1-67-48-18,7.7458,26.8228,1.1035,30.4704,1,2.9947,,,
15-48-28-49,28-32-49-18,5.9988,6.6713,2.7615,9.8706,1,0.038,,,
67-93-2-49,76-22-48-15,5.3568,5.3923,0,9.9628,1,0.7863,,,
61-49-15-37,28-93-37-18,5.3151,6.1954,1.7442,9.9407,0,-0.1744,,,
18-28-76-6,15-28-2-67,7.8341,5.8949,1.539,11.6614,1,0.5286,,,
20-37-22-33,15-76-67-18,5.0678,5.4031,0,10.468,1,0.0029,,,
93-20-22-67,49-18-8-2,4.4759,7.0081,0,11.2266,1,0.2574,,,
18-22-49-1,61-18-48-32,26.1423,7.0431,1.9442,29.3381,1,1.9031,,,
6-2-21-20,20-8-22-37,7.9884,5.8652,1.2444,11.7424,1,0.8668,,,
76-22-1-67,1-76-21-61,25.8885,26.5035,23.7635,28.532,1,0.0965,,,
21-32-1-33,6-93-22-21,25.7483,7.8294,4.1067,28.7382,1,0.7328,,,
6-32-67-76,76-8-28-93,6.7451,5.4867,1.0745,11.0498,1,0.1075,,,
8-32-67-15,61-28-33-2,6.0869,5.9182,0,11.5692,1,0.4359,,,
22-49-33-8,2-8-20-18,5.2133,6.7236,1.8562,10.1672,0,-0.0865,,,
28-8-67-48,18-20-8-6,5.6618,8.1193,1.8414,12.0717,0,-0.132,,,
37-33-18-22,49-15-76-37,5.8188,5.2809,1.7238,9.4238,0,-0.0479,,,
49-22-20-1,61-67-76-18,24.5012,5.274,0,29.4389,1,0.3363,,,
28-21-6-37,93-37-22-1,8.2045,25.8826,1.7417,29.8061,1,2.5393,,,
1-18-49-32,61-8-37-18,25.3406,6.6802,1.9511,27.8692,1,2.2005,,,
20-18-37-1,61-21-32-49,25.9602,7.6256,0,29.3332,1,4.2526,,,
76-28-20-93,32-21-76-48,4.872,8.3597,1.0766,12.0799,1,0.0752,,,
33-6-67-21,37-20-76-6,7.7477,6.6686,3.1386,11.0122,1,0.2655,,,
15-76-93-6,1-2-67-18,6.6028,26.7085,0,30.7496,1,2.5617,,,
6-18-93-20,61-21-33-37,7.4812,7.4135,0,12.9661,1,1.9286,,,
48-2-67-8,8-49-61-21,6.1082,8.1385,1.8565,11.7413,1,0.6489,,,
15-6-61-76,76-6-49-67,6.5534,6.5236,4.2882,8.9336,0,-0.1448,,,
1-32-18-28,37-22-21-18,26.448,8.2896,1.9531,30.0993,1,2.6852,,,
8-15-2-33,15-48-21-67,6.0331,7.5612,1.2688,11.9073,1,0.4182,,,
1-67-48-76,32-2-21-18,25.8728,8.7056,0,30.7835,1,3.7949,,,
8-6-20-22,32-6-49-18,7.3245,7.7024,3.3327,11.7645,0,-0.0703,,,
76-67-37-15,8-22-1-33,5.0788,25.2999,0,29.4511,1,0.9276,,,
67-93-1-2,37-49-21-18,25.8034,8.3089,0,30.7744,1,3.3379,,,
18-28-76-22,22-2-15-28,5.6603,5.9354,2.6389,8.9418,1,0.015,,,
61-48-32-49,67-93-37-49,6.309,5.0606,1.2347,9.0834,1,1.0515,,,
67-1-76-22,21-20-76-61,25.9248,7.4618,1.0722,28.8324,1,3.482,,,
76-32-48-49,32-49-93-20,6.2123,5.4343,3.1777,8.361,1,0.1079,,,
37-6-21-2,8-28-21-2,8.2007,8.749,5.614,11.2733,1,0.0624,,,
1-28-67-48,93-1-20-28,26.1872,25.4466,24.12,27.4263,1,0.0875,,,
18-76-1-28,1-48-8-20,27.1498,25.2741,22.7906,29.6732,0,-0.0399,,,
1-6-22-32,67-76-28-6,25.1899,6.992,3.3416,28.49,1,0.3503,,,
1-61-18-67,22-61-18-33,26.778,5.3009,3.1368,28.9281,1,0.014,,,
49-61-48-18,67-18-49-28,6.3645,5.8097,3.1937,8.1908,1,0.7897,,,
28-93-1-61,18-37-15-28,26.16,6.4772,1.5317,30.1636,1,0.9419,,,
18-33-32-8,18-28-22-20,6.758,5.8025,1.9551,10.6288,0,-0.0234,,,
49-18-8-21,20-22-93-33,8.8368,4.4089,0,13.2272,1,0.0185,,,
93-61-76-33,76-49-61-33,4.2748,4.4765,3.2959,5.5397,0,-0.0843,,,
18-76-67-61,6-8-18-61,5.2916,8.1371,3.1571,10.1513,1,0.1203,,,
6-67-21-93,33-28-93-48,7.8552,5.5727,1.032,11.4654,1,0.9305,,,
28-15-18-61,22-48-20-93,5.9636,5.3474,0,11.2787,1,0.0323,,,
8-32-37-20,49-20-37-48,6.398,6.1418,2.9485,9.561,1,0.0303,,,
21-61-93-22,61-33-49-1,7.1764,25.1373,1.2219,28.8637,1,2.2281,,,
18-32-37-20,37-93-48-18,6.6458,6.669,3.6292,9.6456,1,0.04,,,
76-37-2-6,22-20-8-76,6.9291,5.2472,1.057,10.6077,1,0.5116,,,
21-6-8-37,6-32-48-67,8.6112,6.8157,3.2784,11.8844,1,0.2641,,,
48-18-20-61,33-18-15-20,6.3709,5.4746,3.1914,8.6757,0,-0.0216,,,
61-33-49-22,32-48-33-2,4.6122,6.787,1.0243,10.2842,1,0.0907,,,
20-21-18-37,8-22-15-1,8.3263,25.3857,0,30.1972,1,3.5148,,,
37-67-6-32,21-20-48-49,6.9332,8.2994,0,12.4957,1,2.7369,,,
48-67-1-8,32-33-2-93,25.2287,5.8236,0,28.626,1,2.4263,,,
33-15-48-20,37-32-93-20,5.5011,5.6685,1.2373,9.887,1,0.0453,,,
76-37-20-15,1-20-15-18,5.2064,26.0753,2.502,28.0397,1,0.74,,,
48-18-22-20,15-32-48-6,6.2474,7.7531,1.9666,12.1613,0,-0.1274,,,
20-76-93-6,2-1-76-93,6.3378,25.7737,2.0895,26.9243,1,3.0977,,,
49-67-22-1,33-15-49-6,25.2184,6.8214,1.2414,28.1807,1,2.6177,,,
18-22-32-67,28-22-48-1,6.0685,27.0237,1.0981,29.537,1,2.4571,,,
15-6-33-28,93-49-1-22,7.0613,25.1893,0,29.5478,1,2.7028,,,
61-8-32-49,2-61-49-76,6.0973,5.4608,2.4505,8.9061,1,0.2015,,,
