K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,,,
1967/6/28,1949/6/20,5.92325,5.64443,3.32489,8.24496,0,-0.00217,,,,,
48-28-22-18,48-28-15-61,6.5522,5.98217,3.50232,9.03418,0,-0.00214,,,,,
1-49-8,67-48-1,23.54058,24.85648,22.78739,25.61167,0,-0.00199,,,,,
18-93-67-15,2-61-6-20,5.34515,6.70485,0,12.05193,0,-0.00193,,,,,
22-32-61-1,61-37-32-1,25.22547,25.1223,24.12318,26.22649,0,-0.00191,,,,,
1-93-15-8,1-22-93-2,25.30373,25.88657,23.79718,27.39503,0,-0.00191,,,,,
61-67-20,67-48-22,3.54836,3.40257,1.10037,5.85213,0,-0.00157,,,,,
61-18-33-22,76-61-49-20,5.29845,4.69756,1.2156,8.78184,0,-0.00143,,,,,
48-67-33,76-18-22,3.33368,4.11872,0,7.45363,0,-0.00123,,,,,
1-18-76,1-8-37,25.74303,24.23116,22.78475,27.19048,0,-0.00104,,,,,
49-76-28,8-93-15,3.83957,4.14278,0,7.98314,0,-0.00079,,,,,
6-21-32-2,33-18-21-32,8.26163,8.40998,5.43136,11.24099,0,-0.00074,,,,,
6-33-93,2018/6/15,5.38742,6.52597,3.33965,8.57439,0,-0.00065,,,,,
48-61-1,1-6-61,25.6229,24.71076,23.8166,26.51769,0,-0.00063,,,,,
32-15-37-1,76-61-1-20,25.1656,25.07216,22.78998,27.44841,0,-0.00063,,,,,
49-8-76,67-15-93,4.15144,3.39391,0,7.54597,0,-0.00061,,,,,
1-22-21-37-33,8-21-67-32-1,27.49225,26.23629,24.45672,29.2723,0,-0.00048,,,,,
49-76-48-28-1,22-48-15-1-93,27.27969,27.76782,24.59523,30.45267,0,-0.0004,,,,,
67-48-18-28-6,93-48-61-28-6,9.06302,8.82166,6.79782,11.08719,0,-0.00033,,,,,
20-22-15,18-15-20,3.6064,4.45567,2.5058,5.55659,0,-0.00031,,,,,
18-15-76-22-93,49-76-67-22-15,6.40961,5.7735,3.43714,8.74624,0,-0.00027,,,,,
37-61-33,93-33-18,3.92806,4.01396,1.03162,6.91059,0,-0.00019,,,,,
67-49-15-93-22,20-67-49-61-2,5.73282,6.52258,2.3372,9.91826,0,-0.00006,,,,,
20-28-48,33-22-18,4.73994,4.08255,0,8.82247,1,0.00002,,,,,
22-48-76,49-33-22,4.13143,3.37027,1.10056,6.40104,1,0.0001,,,,,
1-28-61,22-18-28,25.17163,4.58965,1.5384,28.22274,1,0.00014,,,,,
33-18-21-93-8,20-32-48-61-21,9.79932,9.62084,4.08349,15.33647,1,0.0002,,,,,
8-22-15,18-76-22,4.22014,4.11651,1.10032,7.23612,1,0.00021,,,,,
6-67-1-18,49-1-32-22,26.68165,24.50841,22.78376,28.40593,1,0.00037,,,,,
49-76-61,1967/2/20,3.46371,4.08973,0,7.55297,1,0.00047,,,,,
61-22-33,67-93-22,3.347,3.23278,1.10077,5.47854,1,0.00048,,,,,
76-28-18,93-33-22,4.55628,3.16473,0,7.72044,1,0.00056,,,,,
21-32-48-93-61,18-21-15-93-49,9.48445,9.43678,5.10976,13.81078,1,0.0007,,,,,
2-33-93-1-22,28-61-22-8-1,26.89839,26.7195,23.88968,29.72747,1,0.00073,,,,,
48-93-33,49-48-28,4.0289,4.7395,1.9652,6.80231,1,0.00089,,,,,
21-20-2-1,1-20-6-49,25.65357,24.27606,23.0472,26.88151,1,0.00092,,,,,
49-22-48,18-93-28,4.30442,4.52026,0,8.82367,1,0.001,,,,,
20-18-93,33-20-18,4.21844,4.22081,3.18714,5.25104,1,0.00107,,,,,
76-18-22,61-28-76,4.11897,3.77011,1.06878,6.81908,1,0.00122,,,,,
93-22-21-48-1,61-1-8-48-15,28.29922,27.13214,24.59455,30.83554,1,0.00127,,,,,
61-22-18,22-33-49,4.264,3.36954,1.10081,6.53138,1,0.00134,,,,,
8-22-28-1,67-8-76-1,25.6967,25.25941,23.23114,27.72357,1,0.0014,,,,,
18-33-93,18-61-2,4.01407,5.22883,1.95152,7.28996,1,0.00142,,,,,
1-20-93,2015/1/6,24.0495,24.7774,22.78686,26.03854,1,0.0015,,,,,
48-21-33-18-20,15-21-67-93-48,10.17769,8.63301,6.01806,12.79114,1,0.0015,,,,,
28-67-61,28-20-33,3.82724,3.80743,1.53715,6.09591,1,0.0016,,,,,
1976/6/1,1967/6/1,24.71159,24.73408,23.70876,25.73526,1,0.00164,,,,,
28-76-67,2-37-67,3.68287,4.66043,1.1001,7.24155,1,0.00165,,,,,
20-93-1-15,67-21-32-1,25.12061,25.79657,22.78462,28.13069,1,0.00187,,,,,
20-49-8-33,67-20-49-93,5.35598,4.60717,2.47389,7.48734,1,0.00192,,,,,
8-28-49,8-76-20,4.6237,4.15426,1.85088,6.92512,1,0.00196,,,,,
76-67-6-28,21-37-28-6,6.92819,8.27727,4.85423,10.34895,1,0.00229,,,,,
93-18-1-37-21,20-8-6-2-1,28.41626,25.34782,22.78705,30.9747,1,0.00234,,,,,
8-20-49,33-76-48,4.32535,4.06262,0,8.38555,1,0.00242,,,,,
33-67-61,20-61-67,3.34857,3.55161,2.31477,4.5829,1,0.00252,,,,,
32-15-93-1-8,1-32-8-22-49,25.61521,24.95549,23.54364,27.0243,1,0.00276,,,,,
22-18-6,32-6-48,6.38017,6.59489,3.32258,9.64953,1,0.00294,,,,,
6-1-93,21-18-1,24.71354,26.41016,22.78141,28.33916,1,0.00313,,,,,
37-93-1,32-67-1,24.79392,24.12473,22.78467,26.13064,1,0.00333,,,,,
76-2-15-33-1,93-76-1-37-48,26.86469,27.61518,23.79665,30.67976,1,0.00347,,,,,
49-18-61-48,67-20-48-93,6.36228,4.57062,1.96584,8.96354,1,0.00351,,,,,
18-1-8-48-21,8-21-37-6-1,28.66638,26.8196,24.90246,30.57969,1,0.00382,,,,,
48-67-93,2-67-22,3.33298,4.22199,1.10066,6.45018,1,0.00413,,,,,
33-67-20,6-20-21,3.36981,6.87401,1.23742,9.00226,1,0.00414,,,,,
61-18-48,49-33-48,5.13026,4.23416,1.9647,7.39552,1,0.0042,,,,,
8-20-18,33-76-93,5.03871,3.13162,0,8.16567,1,0.00466,,,,,
1948/2/15,15-93-48,5.24978,4.25856,3.23503,6.26859,1,0.00471,,,,,
1-2-37-8,6-1-32-48,25.22525,25.83271,22.78751,28.26569,1,0.00476,,,,,
21-15-8-28,48-21-93-61,8.56395,8.17323,4.08687,12.6454,1,0.00491,,,,,
22-28-49-61-93,28-49-93-2-37,6.11744,7.31247,3.80602,9.61895,1,0.00494,,,,,
15-32-20,93-18-67,4.42628,4.08274,0,8.50393,1,0.00509,,,,,
8-18-6-33-1,6-20-1-37-76,27.11252,25.96732,23.70854,29.36613,1,0.00518,,,,,
48-8-33,22-61-18,4.84586,4.26605,0,9.10651,1,0.0054,,,,,
28-1-18-93-8,18-1-20-49-15,27.5514,26.3783,24.73984,29.18415,1,0.00571,,,,,
1-37-28,1933/1/18,25.14986,25.74666,22.78326,28.10734,1,0.00592,,,,,
49-93-8-20,33-18-76-67,5.35614,5.15119,0,10.50116,1,0.00618,,,,,
37-21-1,93-32-1,25.46116,24.10917,22.78539,26.77861,1,0.00633,,,,,
48-76-61-20,49-93-76-20,5.43305,4.57255,2.30458,7.69446,1,0.00656,,,,,
6-48-32,6-49-18,6.58125,6.43593,3.32597,9.68453,1,0.00667,,,,,
49-67-48,6-49-21,3.53879,6.81925,1.23752,9.11366,1,0.00686,,,,,
76-15-67-21-37,93-21-28-67-22,8.63309,8.71663,5.15854,12.18415,1,0.00703,,,,,
18-67-8,61-20-33,4.90107,3.48323,0,8.37693,1,0.00737,,,,,
32-20-1-22-18,1-93-32-33-48,26.40774,26.92749,23.09893,30.22884,1,0.00746,,,,,
76-15-28,49-93-76,3.87559,3.33501,1.06832,6.13452,1,0.00777,,,,,
21-6-32-8,6-28-33-20,8.56515,7.06789,3.33987,12.28538,1,0.0078,,,,,
76-37-2-33,15-76-18-33,5.66346,5.31933,2.10008,8.87491,1,0.0078,,,,,
61-33-48-76,8-20-18-28,5.22588,6.57744,0,11.79546,1,0.00786,,,,,
67-2-37-21,93-61-21-49,7.80581,7.36939,4.07227,11.09507,1,0.00786,,,,,
76-15-22,2-76-8,3.43687,4.9065,1.06717,7.26807,1,0.00813,,,,,
22-67-20-15,20-18-22-93,4.70714,5.32023,2.33809,7.68103,1,0.00825,,,,,
28-76-18,76-37-6,4.55639,5.51225,1.06872,8.99143,1,0.00849,,,,,
2-18-76,22-28-48,5.05339,4.60327,0,9.64791,1,0.00875,,,,,
8-1-28-20-33,48-22-1-32-67,25.85945,26.27065,22.78602,29.33468,1,0.0094,,,,,
37-48-21-8,28-33-18-93,8.88867,5.55204,0,14.4313,1,0.00941,,,,,
20-6-37-93,6-48-49-22,6.7004,7.51048,3.32731,10.87404,1,0.00953,,,,,
61-22-76-32,18-49-93-32,5.24567,6.13643,1.94127,9.43105,1,0.00978,,,,,
93-6-76-22-49,18-33-22-28-93,7.59511,6.6536,2.13215,12.10639,1,0.01016,,,,,
18-67-8,67-61-15,4.90198,3.584,1.10034,7.37539,1,0.01025,,,,,
22-37-61,67-93-48,3.9965,3.33354,0,7.31975,1,0.01029,,,,,
32-33-15,93-22-67,4.24903,3.23288,0,7.47135,1,0.01056,,,,,
15-76-18-28-6,33-18-6-2-22,9.06162,8.90754,5.27749,12.68086,1,0.0108,,,,,
8-37-2,93-61-33,5.33694,3.27841,0,8.60439,1,0.01095,,,,,
20-28-93,48-21-20,3.80675,7.19688,1.23765,9.75501,1,0.01097,,,,,
32-49-76,32-76-22,4.21817,4.10708,3.00376,5.3104,1,0.01109,,,,,
33-1-76-48-8,15-21-1-6-8,27.0538,26.89336,23.23172,30.70434,1,0.01109,,,,,
